FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,GeoLocation,Emission_ID
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc0,342090,Fuego,2,20071215,20071215,POINT (-90.88 14.473),280
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cbf,342090,Fuego,2,20120913,20120913,POINT (-90.88 14.473),281
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cbe,342090,Fuego,2,20150207,20150207,POINT (-90.88 14.473),282
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cbd,342090,Fuego,2,20160104,20160120,POINT (-90.88 14.473),283
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cbc,342090,Fuego,1,20160210,20160210,POINT (-90.88 14.473),284
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cbb,342110,Pacaya,1,19890309,19890309,POINT (-90.601 14.382),285
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cba,342110,Pacaya,23,20100528,20100528,POINT (-90.601 14.382),286
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb9,342110,Pacaya,2,20140302,20140302,POINT (-90.601 14.382),287
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb8,343020,Santa Ana,12,20051001,20051001,POINT (-89.63 13.853),288
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb7,343100,San Miguel,5,20131229,20131229,POINT (-88.269 13.434),289
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb6,344020,San Cristobal,5,20120908,20120908,POINT (-87.004 12.702),290
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb5,344020,San Cristobal,1,20121226,20121226,POINT (-87.004 12.702),291
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb4,344040,Telica,1,20151122,20151122,POINT (-86.84 12.606),292
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb3,344070,"Negro, Cerro",10,19920409,19920409,POINT (-86.702 12.506),293
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb2,344090,Momotombo,1.5,20151202,20151202,POINT (-86.539 12.423),294
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb1,345070,Turrialba,3,20141030,20141030,POINT (-83.767 10.025),295
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cb0,351020,"Ruiz, Nevado del",90,19850912,19850912,POINT (-75.324 4.892),296
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6caf,351020,"Ruiz, Nevado del",660,19851114,19851114,POINT (-75.324 4.892),297
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cae,351020,"Ruiz, Nevado del",12,19890901,19890901,POINT (-75.324 4.892),298
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cad,351080,Galeras,3,20040812,20040812,POINT (-77.37 1.22),299
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cac,352010,Reventador,84,20021103,20021103,POINT (-77.656 -0.077),300
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cab,352050,Cotopaxi,20,20150814,20150814,POINT (-78.436 -0.677),301
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6caa,352080,Tungurahua,6,19991116,19991116,POINT (-78.442 -1.467),302
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca9,352080,Tungurahua,32,20010806,20010806,POINT (-78.442 -1.467),303
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca8,352080,Tungurahua,12,20030308,20030308,POINT (-78.442 -1.467),304
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca7,352080,Tungurahua,10,20060715,20060715,POINT (-78.442 -1.467),305
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca6,352080,Tungurahua,30,20060816,20060816,POINT (-78.442 -1.467),306
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca5,353010,Fernandina,290,19840331,19840331,POINT (-91.55 -0.37),307
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca4,353010,Fernandina,280,19880914,19880914,POINT (-91.55 -0.37),308
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca3,353010,Fernandina,580,19910420,19910420,POINT (-91.55 -0.37),309
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca2,353010,Fernandina,150,20050513,20050513,POINT (-91.55 -0.37),310
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca1,353010,Fernandina,521,20090411,20090411,POINT (-91.55 -0.37),311
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ca0,353020,Wolf,1080,19820829,19820829,POINT (-91.35 0.02),312
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c9f,353020,Wolf,200,20150525,20150525,POINT (-91.35 0.02),313
